EQUIPO,ID_TEAM
AC Milan,e60d589d
ADO Den Haag,6ef3590e
AFC Bournemouth,8f0ee150
AJ Auxerre,529e02d6
AS Mónaco,165613fb
AS Roma,b5e9555b
Académico de Viseu,43482186
Ajax Amsterdam,1a7153dc
Alavés,db12fe24
Alverca,42556646
Angers,a450e905
Arouca,4262af84
Arsenal,5e5926a8
Aston Villa,8aaa5c2a
Atalanta,7773e6f7
Athletic Club,03892907
Atlético de Madrid,67a912d9
Barcelona,070b2a73
Bayer Leverkusen,2f18fea0
Bayern Munich,d87ee7fa
Benfica,52bffbec
Bolonia,e74cc037
Borussia Dortmund,1ccf1fdd
Borussia Monchengladbach,39da517f
Braga,3897a35c
Brentford,e6930813
Brest,8a9f0bae
Brighton & Hove Albion,ddfbc6e0
C.D. Nacional,4f7f8647
CCasa Pia,96f92bcc
CGil Vicente,de333f5e
CRio Ave,0f03ca48
CSanta Clara,324e667e
Cagliari,a502a50f
Celta Vigo,0ee55098
Chelsea,27e820e3
Como,85687c00
Coventry City,98b0d239
Crystal Palace,4e2d3da5
Deportivo La Coruña,06f08789
Eintracht Frankfurt,68395538
Elche,8cf68fef
Espanyol,72a43a92
Estoril,89d08708
Estrela,bfb233f1
Everton,56cb72ce
Excelsior,3b8996a2
F. C. Augsburgo,789bff09
FC Cologne,ed9bea31
FC Famalicao,3e3a57c3
FC Groningen,c81bc0a9
FC Porto,e9873c62
FC Twente,bb65a665
FC Utrecht,9ef116a4
FCU1. FC Union Berlin,072597ca
Feyenoord Rotterdam,44e4e7f3
Fiorentina,c5732e64
Fortuna Sittard,1e596fe6
Frosinone,bf849713
Fulham,36faff1c
Getafe,6d3ce424
Go Ahead Eagles,b45bdbd8
Génova,8fbb4e52
Hamburg SV,e15e220c
Heerenveen,fe0ef083
Hull City,6cdf44b5
Internazionale,8a9c90b8
Ipswich Town,cbe5ddb5
Juventus,df8fb49f
Lazio,2beca7bd
Le Havre AC,5f04dfd4
Le Mans,883538d3
Lecce,10fe4ff4
Leeds United,6a018616
Lens,9e74bd7d
Levante,fc561b78
Lille,146e84dc
Liverpool,b8fe5275
Lorient,020a7f65
Lyon,c4d23c47
M05Mainz,67d2741a
Manchester City,4f605fcd
Manchester United,b0d065ff
Maritimo,cddca928
Marseille,5a2d0b3d
Monza,efc111ef
Moreirense,50e33cc1
Málaga,43b26b3f
NEC Nijmegen,c7b3d34a
Napoli,568a8a64
Newcastle United,9ce510e8
Nice,f2714e4b
Nottingham Forest,9e436ed0
Osasuna,334cbac2
PEC Zwolle,495fd02c
PSV Eindhoven,5b1f1126
Paris FC,f9c28840
Paris Saint-Germain,04888c83
Parma,b7806cc1
RB Leipzig,3c901cd1
Racing Santander,e0fc6cfc
Rayo Vallecano,d589d0de
Real Betis,5591806d
Real Madrid,6b352590
Real Sociedad,e5b4c3ad
S04Schalke 04,b792886b
SC Cambuur,3c58aa70
SC Freiburg,48c446df
SC Paderborn 07,db8e15db
SV Elversberg,3d0cb769
Sassuolo,aa31dcf4
Sevilla FC,270c4196
Sp RotterdamSparta Rotterdam,c288c38f
Sporting CP,9acafd47
Stade Rennais,c396af0f
Strasbourg,1ed6764f
Sunderland,f0f92509
TSG Hoffenheim,787fe1c6
Telstar,d017e0b1
Torino,87b96059
Tottenham Hotspur,c16ad126
Toulouse,96910548
Troyes,e18eda70
Udinese,736f6351
Valencia,29ab75df
Venezia,39293240
VfB Stuttgart,863a7c5b
Villarreal,1595e088
Vitória de Guimaraes,23b7f732
Werder Bremen,38412f1b
Willem II,13cf1947
Z Alkmaar,b1270efd
